ds,Course,Year_Level,y
2021-02-01,BSBA-FINANCIAL_MANAGEMENT,3rd_year,47
2021-02-01,BSBA-FINANCIAL_MANAGEMENT,4th_year,56
2021-02-01,BSBA-MARKETING_MANAGEMENT,1st_year,52
2021-02-01,BSBA-MARKETING_MANAGEMENT,2nd_year,19
2021-02-01,BSBA-MARKETING_MANAGEMENT,3rd_year,3
2021-02-01,BSBA-MARKETING_MANAGEMENT,4th_year,49
2021-02-01,BSCS,1st_year,19
2021-02-01,BSCS,2nd_year,8
2021-02-01,BSCS,3rd_year,8
2021-02-01,BSCS,4th_year,3
2021-02-01,BSIT,1st_year,103
2021-02-01,BSIT,2nd_year,42
2021-02-01,BSIT,3rd_year,35
2021-02-01,BSIT,4th_year,48
2022-01-01,BSBA-FINANCIAL_MANAGEMENT,1st_year,64
2022-01-01,BSBA-FINANCIAL_MANAGEMENT,2nd_year,45
2022-01-01,BSBA-FINANCIAL_MANAGEMENT,3rd_year,20
2022-01-01,BSBA-FINANCIAL_MANAGEMENT,4th_year,51
2022-01-01,BSBA-MARKETING_MANAGEMENT,1st_year,63
2022-01-01,BSBA-MARKETING_MANAGEMENT,2nd_year,41
2022-01-01,BSBA-MARKETING_MANAGEMENT,3rd_year,20
2022-01-01,BSBA-MARKETING_MANAGEMENT,4th_year,43
2022-01-01,BSCS,1st_year,38
2022-01-01,BSCS,2nd_year,10
2022-01-01,BSCS,3rd_year,8
2022-01-01,BSCS,4th_year,5
2022-01-01,BSIT,1st_year,139
2022-01-01,BSIT,2nd_year,91
2022-01-01,BSIT,3rd_year,52
2022-01-01,BSIT,4th_year,48
2022-02-01,BSBA-FINANCIAL_MANAGEMENT,1st_year,52
2022-02-01,BSBA-FINANCIAL_MANAGEMENT,2nd_year,33
2022-02-01,BSBA-FINANCIAL_MANAGEMENT,3rd_year,18
2022-02-01,BSBA-FINANCIAL_MANAGEMENT,4th_year,55
2022-02-01,BSBA-MARKETING_MANAGEMENT,1st_year,58
2022-02-01,BSBA-MARKETING_MANAGEMENT,2nd_year,32
2022-02-01,BSBA-MARKETING_MANAGEMENT,3rd_year,18
2022-02-01,BSBA-MARKETING_MANAGEMENT,4th_year,42
2022-02-01,BSCS,1st_year,29
2022-02-01,BSCS,2nd_year,9
2022-02-01,BSCS,3rd_year,8
2022-02-01,BSCS,4th_year,12
2022-02-01,BSIT,1st_year,107
2022-02-01,BSIT,2nd_year,72
2022-02-01,BSIT,3rd_year,30
2022-02-01,BSIT,4th_year,48
2023-01-01,BSBA-FINANCIAL_MANAGEMENT,1st_year,0
