School_Year,Semester,Course,total_enrollees,Year_Level,Enrollees_Count,Start_Year,Department,Semester_Order,Lag_1_Enrollees,Rolling_Mean_3,Rolling_Std_3,Growth_Rate,Year_Semester_Interaction,Time_Index,Enrollment_Trend,Dept_Enrollment_Ratio,Semester_Sin,Semester_Cos,ARIMA_Residual,Actual_Enrollment
2018-2019,2nd,BSCS,41,4th_year,16,2018,CS,2,4.0,10.0,8.48528137423857,1.0,4036,2,2.050549450549451,0.39024390243807255,-2.4492935982947064e-16,1.0,0.0,
2018-2019,2nd,BSIT,353,1st_year,75,2018,IT,2,219.0,147.0,101.82337649086284,-0.6575342465753424,4036,2,-7.7120879120879176,0.2124645892350673,-2.4492935982947064e-16,1.0,-143.4239219882974,75.0
2018-2019,2nd,BSIT,353,2nd_year,98,2018,IT,2,88.0,93.0,7.0710678118654755,0.11363636363636354,4036,2,-3.461538461538462,0.27762039660048793,-2.4492935982947064e-16,1.0,9.98337784794569,98.0
2018-2019,2nd,BSIT,353,3rd_year,102,2018,IT,2,53.0,77.5,34.64823227814083,0.9245283018867925,4036,2,-2.167032967032967,0.28895184135969154,-2.4492935982947064e-16,1.0,0.0,
2018-2019,2nd,BSIT,353,4th_year,78,2018,IT,2,85.0,81.5,4.949747468305833,-0.08235294117647063,4036,2,-2.5340659340659353,0.22096317280446998,-2.4492935982947064e-16,1.0,0.0,
2019-2020,1st,BSBA-FINANCIAL_MANAGEMENT,262,1st_year,94,2019,BA,1,54.0,93.33333333333333,39.0042732701602,0.7407407407407407,2019,3,-6.303296703296706,0.17472118959104557,1.2246467991473532e-16,-1.0,0.0,
2019-2020,1st,BSBA-FINANCIAL_MANAGEMENT,262,2nd_year,43,2019,BA,1,91.0,61.333333333333336,25.92939130279254,-0.5274725274725275,2019,3,-3.0791208791208793,0.07992565055760595,1.2246467991473532e-16,-1.0,0.0,
2019-2020,1st,BSBA-FINANCIAL_MANAGEMENT,262,3rd_year,65,2019,BA,1,43.0,55.666666666666664,11.372481406154654,0.5116279069767442,2019,3,-3.773626373626375,0.12081784386614854,1.2246467991473532e-16,-1.0,0.0,
2019-2020,1st,BSBA-FINANCIAL_MANAGEMENT,262,4th_year,60,2019,BA,1,63.0,47.333333333333336,24.583192089989723,-0.04761904761904767,2019,3,-2.0945054945054946,0.1115241635687525,1.2246467991473532e-16,-1.0,0.0,
2019-2020,1st,BSBA-MARKETING_MANAGEMENT,276,1st_year,91,2019,BA,1,55.0,101.0,51.73006862551025,0.6545454545454545,2019,3,-6.153846153846151,0.16914498141260795,1.2246467991473532e-16,-1.0,0.0,
2019-2020,1st,BSBA-MARKETING_MANAGEMENT,276,2nd_year,54,2019,BA,1,87.0,62.0,22.11334438749598,-0.3793103448275862,2019,3,-3.325274725274725,0.10037174721187725,1.2246467991473532e-16,-1.0,0.0,
