ds,y
2018-06-01,260
2018-12-01,251
2019-06-01,262
2019-12-01,274
2020-06-01,184
2020-12-01,201
2021-06-01,195
2021-12-01,179
2022-06-01,180
2022-12-01,158
2023-06-01,92
2023-12-01,96
2024-06-01,100
2024-12-01,83
