ds,y
2018-06-01,283
2018-12-01,262
2019-06-01,276
2019-12-01,258
2020-06-01,184
2020-12-01,195
2021-06-01,196
2021-12-01,123
2022-06-01,167
2022-12-01,150
2023-06-01,93
2023-12-01,97
2024-06-01,103
2024-12-01,101
