ds,y
2018-06-01,50
2018-12-01,41
2019-06-01,44
2019-12-01,35
2020-06-01,41
2020-12-01,40
2021-06-01,50
2021-12-01,38
2022-06-01,61
2022-12-01,58
2023-06-01,56
2023-12-01,61
2024-06-01,78
2024-12-01,67
